start_ms,end_ms,label_id,label,n,dropped,clipped,mean_ax,mean_ay,mean_az,mean_lax,mean_lay,mean_laz,mean_gx,mean_gy,mean_gz,rms_ax,rms_ay,rms_az,rms_gx,rms_gy,rms_gz
118189,119867,1,walk,64,0,0,85,62,986,7,-17,1,-28,-27,-46,103,74,986,91,132,133
119867,121551,1,walk,64,0,0,88,79,983,5,12,-1,19,9,0,106,96,983,111,171,151
121551,123236,1,walk,64,0,0,116,94,980,19,2,-1,14,-43,-21,131,103,980,98,148,131
123236,124921,1,walk,64,0,0,74,88,985,-18,0,2,-15,21,-39,96,100,985,103,205,174
124921,126601,1,walk,64,0,0,63,73,988,-12,-9,2,2,20,-13,81,81,988,125,134,150
126601,128284,1,walk,64,0,0,77,92,984,2,7,-1,-3,-19,29,100,102,984,118,173,170
128284,129965,1,walk,64,0,0,108,106,980,19,8,-2,11,-10,-15,123,118,980,82,102,252
129965,131655,1,walk,64,0,0,104,99,981,0,-2,0,-22,10,18,120,107,981,160,157,223
131655,133335,1,walk,64,0,0,43,92,986,-34,0,2,2,61,20,73,105,986,81,147,146
133335,135021,1,walk,64,0,0,42,71,987,-7,-14,1,-2,-10,-63,78,87,987,112,191,151
135021,136708,1,walk,64,0,0,39,85,984,1,6,-1,3,-32,-56,84,101,984,133,210,175
136708,138396,1,walk,64,0,0,43,70,986,0,-11,1,-12,21,-1,75,87,986,138,147,133
138396,140079,1,walk,64,0,0,69,84,984,15,6,-1,-5,-35,24,102,95,984,122,138,107
140079,141766,1,walk,64,0,0,54,68,986,-7,-7,0,-7,32,-63,78,88,986,144,139,172
141766,143444,1,walk,64,0,0,38,107,985,-11,24,0,46,-13,27,77,114,985,114,172,229
143444,145125,1,walk,64,0,0,43,134,985,0,18,0,2,4,11,61,139,985,94,141,229
145125,146811,1,walk,64,0,0,62,115,985,9,-5,0,-5,-20,-203,81,121,985,101,140,360
146811,148488,1,walk,64,0,0,59,117,985,-1,-3,0,-5,13,4,74,124,985,60,149,204
148488,150179,1,walk,64,0,0,76,81,987,15,-20,0,-54,-40,-153,99,87,987,105,117,266
150179,151857,1,walk,64,0,0,77,96,986,-4,7,0,7,21,-121,94,102,986,89,172,270
151857,153542,1,walk,64,0,0,33,71,988,-21,-16,1,-22,5,-240,69,80,988,113,142,280
153542,155225,1,walk,64,0,0,25,69,988,-5,-2,0,-13,-3,-75,68,82,988,103,99,176
155225,156918,1,walk,64,0,0,43,59,987,8,-5,0,6,-32,-192,83,76,987,112,121,215
156918,158602,1,walk,64,0,0,30,86,986,-7,8,0,-23,13,-18,78,96,986,94,177,194
158602,160288,1,walk,64,0,0,18,45,991,-6,-19,2,-12,-4,-54,59,59,991,110,114,219
160288,161978,1,walk,64,0,0,52,62,986,21,5,-2,12,-45,-25,91,78,986,122,175,222
161978,163657,1,walk,64,0,0,35,72,988,-9,7,0,11,42,-10,66,93,988,121,164,156
163657,165345,1,walk,64,0,0,56,102,983,15,23,-3,10,-58,-20,88,115,983,145,173,234
165345,167031,1,walk,64,0,0,133,90,977,37,-8,-3,-10,-32,-22,152,101,977,111,221,240
167031,168715,1,walk,64,0,0,41,79,987,-41,-4,4,-8,60,-37,88,89,987,91,150,231
168715,170392,1,walk,64,0,0,25,91,989,-17,6,1,20,7,-14,58,101,989,74,97,252
170392,172077,1,walk,64,0,0,68,97,986,19,5,-1,-1,-44,-22,86,105,986,99,168,240
172077,173760,1,walk,64,0,0,61,96,987,-3,0,0,-2,30,39,80,106,987,118,150,296
173760,175441,1,walk,64,0,0,64,84,986,4,-9,0,-5,-16,-61,93,93,986,95,101,253
175441,177121,1,walk,64,0,0,64,72,989,1,-6,1,-14,6,-44,81,79,989,105,106,253
177121,178806,1,walk,64,0,0,53,59,991,-8,-10,1,-15,10,30,77,67,991,120,122,264
178806,180485,1,walk,64,0,0,69,92,987,8,21,-2,28,14,106,87,101,987,115,147,261
180485,182172,1,walk,64,0,0,73,81,987,8,-7,0,-12,-52,-179,89,91,987,94,141,301
182172,183853,1,walk,64,0,0,89,90,986,9,5,0,-13,5,80,102,95,986,93,152,229
183853,185533,1,walk,64,0,0,66,53,989,-14,-18,1,2,21,11,86,68,989,112,165,228
185533,187216,1,walk,64,0,0,21,104,988,-28,24,0,28,22,-21,55,110,988,116,187,261
187216,188901,1,walk,64,0,0,32,77,989,0,-13,0,-3,-22,-274,63,87,989,112,124,383
188901,190583,1,walk,64,0,0,0,89,989,-17,9,0,-50,2,-302,54,97,989,115,121,563
190583,192261,1,walk,64,0,0,-17,109,986,-13,10,-2,25,-1,404,48,117,986,133,192,477
192261,193945,1,walk,64,0,0,18,119,985,11,10,0,36,-7,-34,64,123,985,115,132,329
193945,195631,1,walk,64,0,0,49,205,971,28,48,-7,17,41,282,73,210,971,148,196,479
195631,197327,1,walk,64,0,0,84,154,974,20,-16,0,0,-43,-239,104,166,974,176,143,270
197327,199019,1,walk,64,0,0,51,92,986,-7,-36,5,-47,-14,-17,85,101,986,163,169,206
199019,200702,1,walk,64,0,0,32,107,984,-13,-6,1,-2,21,26,63,120,984,133,112,226
200702,202385,1,walk,64,0,0,15,137,983,-13,19,0,6,-12,-24,60,142,983,108,189,285
202385,204068,1,walk,64,0,0,29,132,984,4,4,0,32,8,29,56,137,984,77,226,261
204068,205758,1,walk,64,0,0,35,124,982,2,-8,0,-46,-20,-220,72,132,983,86,142,304
205758,207435,1,walk,64,0,0,52,120,984,6,-1,1,0,25,168,72,125,984,77,166,297
207435,209120,1,walk,64,0,0,40,107,986,-3,-9,1,0,-22,-85,68,116,986,97,186,220
209120,210804,1,walk,64,0,0,66,128,979,22,6,-2,-7,-11,149,98,133,979,139,140,285
210804,212498,1,walk,64,0,0,55,72,986,-2,-27,2,-23,9,-62,81,85,986,121,146,156
212498,214179,1,walk,64,0,0,37,94,985,-16,5,0,7,-12,-32,81,100,985,151,223,178
214179,215864,1,walk,64,0,0,20,76,987,-13,-8,0,-17,49,39,64,89,987,94,163,204
215864,217543,1,walk,64,0,0,32,73,988,3,0,0,8,-28,-119,70,86,988,131,169,249
217543,219234,1,walk,64,0,0,0,124,981,-17,29,-4,71,-12,-66,83,131,981,176,314,305
219234,220923,1,walk,64,0,0,88,144,977,42,9,-1,-16,-18,21,104,152,977,208,235,244
220923,222604,1,walk,64,0,0,37,106,986,-11,-14,3,-32,38,109,65,115,986,91,193,230
222604,224290,1,walk,64,0,0,35,86,986,-3,-15,1,-6,0,-3,67,95,986,136,146,191
224290,225975,1,walk,64,0,0,44,82,986,3,-5,0,-25,-19,14,78,98,986,134,147,172
225975,227659,1,walk,64,0,0,34,67,987,-6,-6,0,0,17,-46,72,89,987,108,141,169
227659,229337,1,walk,64,0,0,69,75,984,15,0,0,1,-22,6,99,87,985,113,181,155
229337,231024,1,walk,64,0,0,55,83,985,-3,6,0,2,6,-91,83,97,985,102,151,209
231024,232702,1,walk,64,0,0,63,60,987,2,-15,1,-18,-9,17,91,69,987,104,198,192
232702,234390,1,walk,64,0,0,86,80,984,24,9,-3,0,-46,-114,113,85,984,103,178,270
234390,236071,1,walk,64,0,0,47,66,990,-26,-4,3,6,31,-84,68,76,990,102,154,203
236071,237752,1,walk,64,0,0,56,73,988,0,0,0,-25,9,-71,80,81,988,104,127,188
237752,239432,1,walk,64,0,0,59,93,987,5,17,-1,23,14,-22,75,102,987,90,222,251
239432,241133,1,walk,64,0,0,56,79,988,0,-11,0,-18,-65,-464,82,90,988,119,158,588
241133,242821,1,walk,64,0,0,67,98,984,4,13,-2,-39,-14,-203,84,109,984,142,174,348
242821,244503,1,walk,64,0,0,60,113,983,0,14,0,61,-11,-2,79,120,983,128,248,324
244503,246188,1,walk,64,0,0,49,150,981,-4,21,-1,-4,3,-11,74,156,981,114,188,180
246188,247873,1,walk,64,0,0,54,133,981,-3,-5,0,-2,4,-1,81,138,981,121,123,238
247873,249566,1,walk,64,0,0,33,117,985,-15,-10,2,-27,9,-126,67,125,985,129,164,217
249566,251243,1,walk,64,0,0,55,119,984,11,1,0,9,-16,181,78,126,984,99,149,239
251243,252928,1,walk,64,0,0,58,114,984,0,-4,1,6,6,-100,85,119,984,118,172,220
252928,254619,1,walk,64,0,0,40,105,982,-2,-8,0,-39,-12,66,86,118,982,174,190,178
254619,256310,1,walk,64,0,0,25,72,986,-17,-21,2,-10,30,-90,66,95,986,175,155,200
256310,257999,1,walk,64,0,0,58,94,983,16,9,-1,4,-26,-117,88,112,983,120,151,259
257999,259686,1,walk,64,0,0,87,117,982,22,15,-1,22,-65,50,100,128,982,126,245,252
259686,261371,1,walk,64,0,0,38,110,985,-22,2,1,13,39,-4,66,119,985,129,238,283
261371,263058,1,walk,64,0,0,75,109,982,11,-5,-1,-34,10,41,98,119,982,152,159,222
263058,264745,1,walk,64,0,0,20,81,987,-27,-15,2,-23,63,-6,60,95,987,124,183,230
264745,266430,1,walk,64,0,0,27,53,991,-1,-18,2,6,-29,-154,63,63,991,114,150,262
266430,268115,1,walk,64,0,0,48,86,985,17,14,-3,-1,-27,38,87,98,985,99,157,194
268115,269804,1,walk,64,0,0,21,66,988,-18,-9,1,17,24,-90,64,77,988,122,136,231
269804,271491,1,walk,64,0,0,89,123,982,37,29,-3,5,-68,-100,105,127,982,87,219,210
271491,273175,1,walk,64,0,0,98,109,982,10,1,0,-12,9,-61,113,116,982,115,164,208
273175,274872,1,walk,64,0,0,69,70,987,-9,-23,2,-61,-14,-228,95,76,987,153,216,282
274872,276565,1,walk,64,0,0,105,123,980,20,28,-4,45,-21,-129,115,126,980,275,311,301
276565,278255,1,walk,64,0,0,78,122,977,-15,6,-1,23,-5,36,103,130,977,168,300,273
278255,279947,1,walk,64,0,0,124,151,971,22,12,-3,-17,-33,-40,138,157,971,106,144,169
279947,281633,1,walk,64,0,0,107,130,976,-2,-4,1,-7,16,-1,127,134,976,112,166,216
281633,283324,1,walk,64,0,0,81,86,985,-13,-27,5,-43,15,-65,102,93,985,100,180,239
283324,285005,1,walk,64,0,0,65,94,984,-13,-2,1,-15,4,36,92,105,984,83,175,185
285005,286689,1,walk,64,0,0,36,55,990,-21,-19,3,-28,39,-62,69,65,990,95,170,228
286689,288367,1,walk,64,0,0,79,70,987,19,0,-1,15,-49,-31,97,76,987,101,126,211
288367,290050,1,walk,64,0,0,76,87,986,6,10,-1,7,-11,-7,96,94,986,105,156,181
290050,291731,1,walk,64,0,0,103,112,981,13,17,-2,23,-16,-52,114,116,981,83,182,254
