start_ms,end_ms,label_id,label,n,dropped,clipped,mean_ax,mean_ay,mean_az,mean_lax,mean_lay,mean_laz,mean_gx,mean_gy,mean_gz,rms_ax,rms_ay,rms_az,rms_gx,rms_gy,rms_gz
120859,122593,2,stairs,64,0,0,-168,-133,971,-17,-11,-2,17,74,-57,173,142,971,112,157,210
122593,124320,2,stairs,64,0,0,-152,-116,975,7,2,1,6,-11,89,161,125,975,118,143,161
124320,126047,2,stairs,64,0,0,-162,-107,975,-7,1,0,42,1,-218,171,117,975,102,125,357
126047,127784,2,stairs,64,0,0,-99,-102,983,30,11,4,4,-10,-1078,114,112,983,92,178,1104
127784,129524,2,stairs,64,0,0,-154,-121,969,-30,-10,-8,-1,182,-400,182,128,969,155,231,499
129524,131255,2,stairs,64,0,0,-172,-102,971,-9,5,0,33,28,48,182,114,971,173,152,127
131255,132981,2,stairs,64,0,0,-178,-85,973,0,17,2,20,21,-46,187,100,973,156,119,142
132981,134717,2,stairs,64,0,0,-153,-110,971,13,-10,0,26,-60,-432,168,119,971,208,141,544
134717,136462,2,stairs,64,0,0,-104,-112,980,24,-9,3,-63,87,-1131,132,120,980,147,194,1238
136462,138197,2,stairs,64,0,0,-176,-146,962,-29,-20,-7,61,114,-180,200,152,962,144,191,341
138197,139912,2,stairs,64,0,0,-179,-104,971,-12,17,1,29,69,72,188,114,971,93,122,113
139912,141641,2,stairs,64,0,0,-186,-119,969,-6,-5,0,-22,16,53,193,129,969,95,130,149
141641,143377,2,stairs,64,0,0,-176,-137,969,5,-7,1,15,3,-320,183,143,969,93,145,363
143377,145112,2,stairs,64,0,0,-141,-119,976,18,8,3,96,16,-898,152,126,977,151,175,1009
145112,146846,2,stairs,64,0,0,-122,-139,974,13,-19,-1,3,44,-351,132,152,975,138,221,536
146846,148577,2,stairs,64,0,0,-129,-142,975,5,6,2,18,54,16,140,151,975,75,156,272
148577,150300,2,stairs,64,0,0,-141,-141,974,-5,2,0,9,17,37,148,151,974,109,98,151
150300,152032,2,stairs,64,0,0,-151,-117,976,-11,7,0,38,23,-229,157,129,976,80,153,357
152032,153772,2,stairs,64,0,0,-83,-115,983,42,1,4,-6,-23,-1004,105,121,983,187,153,1123
153772,155502,2,stairs,64,0,0,-110,-111,980,-12,3,0,7,135,-466,125,121,980,112,186,594
155502,157226,2,stairs,64,0,0,-161,-135,969,-28,-5,-4,6,79,-1,169,150,969,155,160,145
157226,158959,2,stairs,64,0,0,-179,-138,964,-18,-14,-5,-13,38,107,193,151,965,191,186,202
158959,160690,2,stairs,64,0,0,-201,-142,960,-15,-4,-3,47,25,-437,212,151,960,147,180,609
160690,162428,2,stairs,64,0,0,-94,-151,977,52,-4,8,0,65,-1018,112,159,977,83,216,1040
162428,164164,2,stairs,64,0,0,-120,-167,970,-2,-11,-1,31,85,-200,136,173,970,149,201,360
164164,165897,2,stairs,64,0,0,-183,-118,967,-32,33,-1,72,84,60,193,131,967,184,189,180
165897,167630,2,stairs,64,0,0,-175,-138,965,-5,-12,-2,-27,2,10,184,151,965,179,131,233
167630,169367,2,stairs,64,0,0,-147,-136,972,19,3,5,83,-7,-625,158,142,972,160,108,664
169367,171110,2,stairs,64,0,0,-110,-121,977,25,4,2,-8,56,-799,137,124,977,179,222,1009
171110,172846,2,stairs,64,0,0,-142,-149,967,0,-10,-2,41,44,-107,173,158,967,157,273,360
172846,174558,2,stairs,64,0,0,-41,-125,985,41,10,7,3,-4,-22,65,137,985,97,130,133
174558,176286,2,stairs,64,0,0,-119,-132,978,-34,-3,-2,22,77,-84,128,140,978,99,144,254
176286,178027,2,stairs,64,0,0,-138,-137,970,-15,-3,-4,9,-24,-682,157,145,970,217,190,833
178027,179761,2,stairs,64,0,0,-68,-126,979,27,3,1,-12,150,-799,109,133,979,175,247,936
179761,181495,2,stairs,64,0,0,-175,-118,970,-46,12,-2,27,119,-57,181,130,970,162,189,221
181495,183231,2,stairs,64,0,0,-205,-146,960,-27,-17,-6,-23,16,19,213,153,960,146,173,124
183231,184960,2,stairs,64,0,0,-175,-112,971,11,14,4,58,21,-139,183,121,971,166,160,257
184960,186692,2,stairs,64,0,0,-143,-128,973,26,-6,2,63,-35,-755,160,135,973,159,161,797
186692,188433,2,stairs,64,0,0,-145,-162,965,-11,-15,-5,-16,147,-529,174,167,965,183,182,664
188433,190163,2,stairs,64,0,0,-183,-170,958,-12,-8,-2,36,68,-88,190,187,958,142,138,266
190163,191897,2,stairs,64,0,0,-188,-129,968,-11,15,2,19,33,66,194,137,968,104,130,190
